transaction_id,user_id,account_age_hours,amount,country,billing_country,ip_country,device_id,card_hash,payment_method,currency,timestamp,card_attempts_last_1h,transactions_last_24h,email_age_days,is_vpn,has_chargeback_history,geo_mismatch,ip_billing_mismatch,new_account,high_amount,high_velocity,fresh_email,risk_score,decision,is_fraud
26,933,3653,40.38,IT,PL,GB,device_1142,card_569,paypal,USD,2025-04-27 18:40:00,9,13,347,1,0,1,1,0,0,1,0,65,3ds_required,1
27,1070,2926,872.98,NL,ES,FR,device_2444,card_3560,paypal,GBP,2025-05-24 03:57:00,6,14,310,0,1,1,1,0,0,1,0,75,block,0
28,779,4174,71.36,PL,ES,BR,device_3304,card_4411,wallet,GBP,2025-06-21 04:04:00,4,12,220,0,1,1,1,0,0,0,0,55,3ds_required,1
29,511,4921,763.15,PL,GB,PL,device_2856,card_2423,wallet,EUR,2025-02-04 22:09:00,7,13,346,0,1,1,1,0,0,1,0,75,block,1
30,2,4979,433.94,PL,CO,CO,device_2682,card_2640,paypal,USD,2025-03-22 11:49:00,4,17,242,0,0,1,0,0,0,0,0,20,approve,0
31,1163,8446,997.46,CO,GB,FR,device_3353,card_1925,wallet,USD,2025-02-10 21:28:00,4,5,12,0,0,1,1,0,0,0,0,35,review,0
32,1947,1194,685.85,CO,IT,PL,device_2025,card_3274,card,EUR,2025-04-30 10:21:00,1,4,217,0,0,1,1,0,0,0,0,35,review,0
33,2122,7612,80.08,IT,FR,RO,device_547,card_3807,wallet,GBP,2025-06-29 20:10:00,9,20,162,1,1,1,1,0,0,1,0,85,block,0
34,2245,7306,1346.33,RO,RO,NL,device_3080,card_2026,wallet,USD,2025-05-20 09:53:00,9,16,320,0,1,0,1,0,1,1,0,65,3ds_required,1
35,1171,3842,411.21,GB,BR,FR,device_567,card_1236,card,USD,2025-05-07 07:54:00,3,7,32,1,1,1,1,0,0,0,0,65,3ds_required,1
36,1909,6813,98.09,PL,PL,CO,device_2849,card_161,wallet,USD,2025-03-28 19:57:00,1,12,152,1,1,0,1,0,0,0,0,45,review,0
37,2205,3614,734.9,NL,PL,RO,device_119,card_3186,paypal,GBP,2025-05-04 15:12:00,7,6,239,0,0,1,1,0,0,1,0,55,3ds_required,0
38,2425,445,130.5,PL,DE,RO,device_745,card_412,paypal,USD,2025-03-01 14:13:00,4,15,167,1,1,1,1,0,0,0,0,65,3ds_required,1
39,1727,4134,1253.19,RO,ES,BR,device_214,card_2867,card,GBP,2025-01-13 11:47:00,1,1,126,0,0,1,1,0,1,0,0,45,review,0
40,625,3909,193.7,FR,CO,IT,device_1905,card_2100,paypal,EUR,2025-04-21 07:11:00,10,4,83,1,0,1,1,0,0,1,0,65,3ds_required,1
41,1278,6150,598.0,IT,FR,CO,device_2829,card_1990,card,GBP,2025-05-21 15:01:00,5,20,61,0,1,1,1,0,0,0,0,55,3ds_required,1
42,1518,1130,761.41,GB,ES,PL,device_3369,card_4016,card,USD,2025-06-24 21:44:00,6,15,362,0,1,1,1,0,0,1,0,75,block,1
43,2138,4426,925.79,BR,RO,RO,device_1785,card_4854,paypal,USD,2025-06-05 01:11:00,4,3,142,1,0,1,0,0,0,0,0,30,review,0
44,1904,6210,507.91,RO,GB,DE,device_1998,card_1738,paypal,USD,2025-03-03 22:57:00,5,20,359,1,0,1,1,0,0,0,0,45,review,0
45,2117,3131,132.99,PL,RO,BR,device_3106,card_1969,wallet,USD,2025-04-28 13:59:00,8,15,8,0,1,1,1,0,0,1,0,75,block,1
46,997,5017,997.62,GB,RO,BR,device_2175,card_2817,paypal,GBP,2025-04-11 04:41:00,6,12,359,1,1,1,1,0,0,1,0,85,block,1
47,945,1977,1083.32,GB,FR,BR,device_3122,card_1517,card,EUR,2025-05-15 11:00:00,8,9,301,1,0,1,1,0,1,1,0,75,block,0
48,1214,3728,544.52,NL,ES,BR,device_519,card_2248,card,EUR,2025-04-11 17:39:00,5,5,326,1,0,1,1,0,0,0,0,45,review,0
49,51,4659,706.75,RO,GB,DE,device_211,card_2069,paypal,EUR,2025-05-30 15:52:00,2,13,251,0,0,1,1,0,0,0,0,35,review,0
50,622,2445,1217.66,NL,FR,IT,device_486,card_4572,paypal,GBP,2025-04-19 12:31:00,10,8,267,1,1,1,1,0,1,1,0,95,block,0
51,1218,7026,461.54,CO,ES,CO,device_3032,card_813,card,GBP,2025-02-08 09:58:00,5,3,80,0,0,1,1,0,0,0,0,35,review,0
52,2261,1230,239.02,PL,RO,CO,device_1925,card_2386,card,EUR,2025-02-22 10:44:00,5,15,36,0,1,1,1,0,0,0,0,55,3ds_required,0
53,2416,3242,640.58,BR,IT,DE,device_1089,card_1166,card,EUR,2025-01-31 04:55:00,5,20,291,1,1,1,1,0,0,0,0,65,3ds_required,1
54,1246,6595,1414.3,BR,BR,RO,device_1794,card_659,wallet,EUR,2025-06-11 21:56:00,7,11,309,1,0,0,1,0,1,1,0,55,3ds_required,1
55,2357,340,1499.36,NL,CO,ES,device_3126,card_1436,paypal,GBP,2025-04-29 14:29:00,8,9,92,1,1,1,1,0,1,1,0,95,block,0
56,1926,5701,615.48,GB,FR,DE,device_1351,card_3373,wallet,USD,2025-02-22 11:14:00,7,18,18,1,0,1,1,0,0,1,0,65,3ds_required,1
57,1325,1900,1455.43,PL,BR,ES,device_2694,card_4445,paypal,USD,2025-01-10 20:49:00,4,17,185,1,1,1,1,0,1,0,0,75,block,0
58,834,4376,826.08,NL,RO,RO,device_498,card_237,wallet,GBP,2025-05-26 12:15:00,4,6,159,0,1,1,0,0,0,0,0,40,review,0
59,382,3682,1488.42,FR,RO,FR,device_2654,card_1262,paypal,GBP,2025-02-23 03:09:00,9,9,212,1,1,1,1,0,1,1,0,95,block,1
60,2258,2370,578.46,CO,BR,DE,device_286,card_2264,paypal,USD,2025-06-20 01:47:00,9,9,1,1,1,1,1,0,0,1,1,95,block,0
61,2376,8023,1298.56,RO,BR,RO,device_1414,card_2724,wallet,GBP,2025-03-10 16:03:00,8,11,96,0,1,1,1,0,1,1,0,85,block,1
62,1683,716,480.67,RO,PL,PL,device_2719,card_1247,paypal,EUR,2025-01-23 23:34:00,9,19,169,0,1,1,0,0,0,1,0,60,3ds_required,1
63,1872,252,1085.05,PL,DE,FR,device_1924,card_2172,paypal,GBP,2025-05-07 02:28:00,7,3,168,1,1,1,1,0,1,1,0,95,block,1
64,1999,589,928.1,IT,NL,IT,device_3059,card_741,paypal,EUR,2025-05-19 10:06:00,2,15,85,1,0,1,1,0,0,0,0,45,review,0
65,189,5315,1195.23,NL,GB,GB,device_1765,card_1193,card,GBP,2025-03-17 00:16:00,10,6,87,0,0,1,0,0,1,1,0,50,3ds_required,1
66,1567,3946,749.01,CO,DE,IT,device_1889,card_2081,paypal,USD,2025-05-02 09:28:00,1,15,147,0,0,1,1,0,0,0,0,35,review,0
67,1810,5662,1481.54,NL,PL,NL,device_1872,card_2475,card,USD,2025-06-05 08:16:00,8,4,121,1,1,1,1,0,1,1,0,95,block,1
68,1210,360,1467.03,PL,NL,ES,device_2319,card_402,wallet,GBP,2025-04-01 10:14:00,5,8,310,1,0,1,1,0,1,0,0,55,3ds_required,1
69,1027,2241,944.23,ES,NL,RO,device_137,card_4748,paypal,GBP,2025-01-24 22:08:00,2,10,167,1,0,1,1,0,0,0,0,45,review,0
70,823,2166,1180.84,GB,BR,BR,device_1117,card_1348,paypal,USD,2025-06-26 02:33:00,5,11,58,1,0,1,0,0,1,0,0,40,review,0
71,577,3697,1290.91,PL,BR,GB,device_370,card_3233,card,USD,2025-04-08 16:19:00,2,15,188,1,1,1,1,0,1,0,0,75,block,0
72,1522,1776,1013.88,RO,ES,CO,device_2300,card_2688,wallet,EUR,2025-04-28 21:38:00,2,15,358,1,1,1,1,0,1,0,0,75,block,1
73,186,610,460.03,RO,FR,FR,device_962,card_4404,card,USD,2025-03-24 13:59:00,6,18,214,0,1,1,0,0,0,1,0,60,3ds_required,1
74,2005,6687,1408.88,NL,ES,GB,device_890,card_3633,paypal,EUR,2025-06-05 17:31:00,6,4,351,1,1,1,1,0,1,1,0,95,block,1
75,1131,3110,1452.47,RO,FR,IT,device_2629,card_4892,card,EUR,2025-05-24 05:33:00,6,8,64,0,0,1,1,0,1,1,0,65,3ds_required,0
76,2271,3395,881.64,IT,GB,DE,device_3231,card_4883,card,USD,2025-06-06 06:26:00,3,5,276,1,0,1,1,0,0,0,0,45,review,0
77,451,423,202.05,GB,IT,CO,device_1327,card_130,card,USD,2025-01-10 12:56:00,3,14,269,0,0,1,1,0,0,0,0,35,review,0
78,1951,7345,1168.14,BR,CO,FR,device_1852,card_4128,card,GBP,2025-01-08 21:27:00,9,10,234,0,0,1,1,0,1,1,0,65,3ds_required,0
79,1646,6985,1030.72,RO,RO,FR,device_331,card_2639,wallet,EUR,2025-01-12 22:58:00,3,9,319,1,1,0,1,0,1,0,0,55,3ds_required,0
80,2174,4832,683.3,CO,PL,FR,device_3249,card_938,wallet,GBP,2025-06-09 18:45:00,9,7,220,1,0,1,1,0,0,1,0,65,3ds_required,1
81,1858,6533,626.9,FR,GB,PL,device_1281,card_2089,paypal,EUR,2025-05-06 00:46:00,8,3,46,0,0,1,1,0,0,1,0,55,3ds_required,1
82,1527,2132,836.77,CO,BR,BR,device_1351,card_1002,paypal,USD,2025-06-09 00:50:00,7,2,147,1,1,1,0,0,0,1,0,70,block,1
83,2079,3486,236.32,RO,IT,FR,device_1435,card_4557,paypal,EUR,2025-05-19 19:52:00,5,19,115,1,0,1,1,0,0,0,0,45,review,0
84,2495,4382,48.29,NL,NL,GB,device_1438,card_51,card,EUR,2025-04-14 02:17:00,7,3,72,0,0,0,1,0,0,1,0,35,review,0
85,2173,3525,567.41,RO,GB,DE,device_1516,card_2553,wallet,USD,2025-05-22 10:02:00,10,20,43,0,0,1,1,0,0,1,0,55,3ds_required,1
86,204,1337,411.79,PL,RO,CO,device_1811,card_3393,paypal,EUR,2025-05-18 10:23:00,9,4,176,1,0,1,1,0,0,1,0,65,3ds_required,1
87,2430,7973,792.77,NL,ES,IT,device_1619,card_4910,card,EUR,2025-02-07 05:08:00,5,7,70,1,1,1,1,0,0,0,0,65,3ds_required,1
88,32,8150,1121.79,DE,DE,PL,device_2182,card_1886,wallet,GBP,2025-06-01 16:58:00,6,3,203,0,1,0,1,0,1,1,0,65,3ds_required,1
89,319,5130,865.76,CO,PL,PL,device_1186,card_944,paypal,EUR,2025-06-25 21:23:00,6,6,316,1,1,1,0,0,0,1,0,70,block,1
90,434,3987,656.34,PL,BR,FR,device_1622,card_2542,wallet,USD,2025-02-10 08:03:00,6,6,39,0,0,1,1,0,0,1,0,55,3ds_required,0
91,1432,5753,1092.43,DE,IT,FR,device_600,card_2097,card,EUR,2025-04-20 15:55:00,3,3,90,1,1,1,1,0,1,0,0,75,block,0
92,2374,7355,1023.29,CO,CO,GB,device_2570,card_2590,card,USD,2025-01-13 10:20:00,8,15,323,1,1,0,1,0,1,1,0,75,block,1
93,1442,8313,115.92,RO,RO,ES,device_234,card_3021,paypal,EUR,2025-04-28 08:35:00,2,20,304,1,1,0,1,0,0,0,0,45,review,0
94,2378,673,677.35,CO,IT,GB,device_2479,card_3897,wallet,EUR,2025-06-24 08:21:00,1,15,52,1,0,1,1,0,0,0,0,45,review,0
95,2067,2828,63.52,RO,RO,BR,device_2142,card_4996,card,USD,2025-03-09 21:00:00,5,13,209,1,0,0,1,0,0,0,0,25,approve,0
96,1371,1080,497.89,BR,PL,NL,device_1033,card_4938,card,USD,2025-01-15 20:05:00,10,5,179,1,1,1,1,0,0,1,0,85,block,1
97,348,5073,840.59,GB,DE,BR,device_383,card_3469,wallet,USD,2025-01-04 07:39:00,6,10,92,0,1,1,1,0,0,1,0,75,block,0
98,1992,3146,343.68,DE,DE,FR,device_1212,card_829,wallet,GBP,2025-06-02 00:41:00,9,2,338,1,0,0,1,0,0,1,0,45,review,0
99,2447,6173,235.61,DE,CO,DE,device_2954,card_3586,card,USD,2025-03-08 07:38:00,4,15,312,1,1,1,1,0,0,0,0,65,3ds_required,1
100,980,5071,1448.57,RO,IT,GB,device_2779,card_4673,paypal,USD,2025-05-21 01:43:00,5,13,257,1,0,1,1,0,1,0,0,55,3ds_required,0
101,2477,2268,1310.14,ES,RO,GB,device_2272,card_841,wallet,GBP,2025-06-04 22:48:00,2,10,42,0,1,1,1,0,1,0,0,65,3ds_required,1
102,2103,2415,1247.41,FR,IT,RO,device_1432,card_219,paypal,EUR,2025-03-14 04:08:00,9,12,120,1,0,1,1,0,1,1,0,75,block,1
103,116,5222,1396.58,GB,DE,DE,device_157,card_2351,paypal,GBP,2025-06-01 07:10:00,3,16,229,0,0,1,0,0,1,0,0,30,review,0
104,78,4194,327.4,DE,BR,CO,device_2162,card_3468,card,USD,2025-02-13 06:15:00,5,4,24,0,1,1,1,0,0,0,0,55,3ds_required,1
105,1873,1030,170.73,RO,CO,BR,device_68,card_4222,wallet,EUR,2025-05-11 19:22:00,3,10,219,0,1,1,1,0,0,0,0,55,3ds_required,1
106,1707,3069,998.24,FR,BR,GB,device_278,card_4310,wallet,GBP,2025-05-24 03:53:00,9,18,10,1,1,1,1,0,0,1,0,85,block,1
107,1585,6117,384.21,ES,GB,FR,device_1413,card_1976,wallet,GBP,2025-04-25 08:53:00,2,19,170,0,0,1,1,0,0,0,0,35,review,0
108,1444,5547,1221.2,DE,RO,RO,device_2588,card_1494,card,EUR,2025-05-11 08:26:00,8,2,150,0,0,1,0,0,1,1,0,50,3ds_required,0
109,172,5171,1400.39,BR,PL,BR,device_1940,card_2076,card,GBP,2025-02-04 18:56:00,5,12,24,1,1,1,1,0,1,0,0,75,block,1
110,1508,7160,1334.78,RO,PL,GB,device_766,card_4065,wallet,USD,2025-03-08 20:57:00,9,9,42,1,0,1,1,0,1,1,0,75,block,1
111,740,4814,485.21,FR,GB,NL,device_1256,card_3653,wallet,GBP,2025-03-19 13:43:00,3,15,179,1,0,1,1,0,0,0,0,45,review,0
112,1445,7127,415.46,ES,FR,PL,device_1489,card_4204,wallet,GBP,2025-01-30 02:59:00,1,5,311,1,0,1,1,0,0,0,0,45,review,0
113,518,1102,357.81,GB,GB,PL,device_2324,card_266,wallet,EUR,2025-05-04 14:52:00,8,12,190,1,0,0,1,0,0,1,0,45,review,0
114,2351,2256,796.54,PL,GB,NL,device_1023,card_930,card,GBP,2025-02-03 20:51:00,8,17,198,0,1,1,1,0,0,1,0,75,block,0
115,1828,3516,1494.57,NL,RO,IT,device_503,card_1112,card,USD,2025-02-01 10:20:00,8,3,349,1,1,1,1,0,1,1,0,95,block,1
116,2253,4758,1337.54,DE,DE,GB,device_2084,card_1837,card,EUR,2025-05-25 04:35:00,3,8,252,0,1,0,1,0,1,0,0,45,review,0
117,2270,6045,703.77,BR,DE,CO,device_354,card_539,paypal,USD,2025-05-11 12:19:00,8,17,210,1,0,1,1,0,0,1,0,65,3ds_required,1
118,1299,1216,677.71,BR,GB,DE,device_3396,card_4517,wallet,GBP,2025-02-03 03:00:00,3,14,257,0,0,1,1,0,0,0,0,35,review,0
119,2123,2508,459.67,DE,GB,IT,device_1418,card_4251,paypal,EUR,2025-02-15 14:54:00,4,18,140,0,1,1,1,0,0,0,0,55,3ds_required,1
120,383,8235,963.28,CO,CO,DE,device_702,card_4958,paypal,GBP,2025-01-08 11:58:00,1,3,23,1,0,0,1,0,0,0,0,25,approve,0
121,2344,6826,929.07,ES,RO,BR,device_1187,card_2475,paypal,EUR,2025-05-27 11:44:00,7,10,232,0,0,1,1,0,0,1,0,55,3ds_required,1
122,1703,7934,699.34,GB,CO,DE,device_1281,card_2616,wallet,USD,2025-06-27 13:28:00,7,5,189,0,1,1,1,0,0,1,0,75,block,1
123,502,4383,677.15,DE,FR,ES,device_1189,card_3147,wallet,USD,2025-02-15 04:42:00,3,11,295,1,0,1,1,0,0,0,0,45,review,0
124,653,8164,1493.97,RO,RO,NL,device_2038,card_190,card,USD,2025-04-03 00:19:00,8,8,110,1,0,0,1,0,1,1,0,55,3ds_required,1
125,2028,7711,432.19,ES,FR,PL,device_549,card_2167,wallet,USD,2025-05-20 01:20:00,7,12,23,1,0,1,1,0,0,1,0,65,3ds_required,1
126,798,5940,832.07,FR,PL,BR,device_1845,card_4505,paypal,GBP,2025-05-04 20:42:00,10,4,65,0,1,1,1,0,0,1,0,75,block,1
127,1389,5991,1133.67,IT,CO,BR,device_1645,card_4097,card,EUR,2025-01-08 02:01:00,3,11,242,1,0,1,1,0,1,0,0,55,3ds_required,1
128,2112,2291,495.31,CO,GB,DE,device_1610,card_2452,wallet,USD,2025-04-03 08:29:00,9,18,250,1,1,1,1,0,0,1,0,85,block,0
129,1509,5428,1012.34,PL,CO,NL,device_3264,card_219,wallet,USD,2025-02-18 08:07:00,10,19,116,0,1,1,1,0,1,1,0,85,block,1
130,1558,2422,1233.38,IT,ES,CO,device_2870,card_901,card,EUR,2025-03-22 06:55:00,6,14,77,1,0,1,1,0,1,1,0,75,block,1
131,1932,1021,1060.13,BR,IT,BR,device_1332,card_3919,wallet,USD,2025-02-27 02:48:00,3,15,272,1,1,1,1,0,1,0,0,75,block,1
132,1083,7933,292.43,IT,NL,BR,device_1223,card_1843,paypal,USD,2025-05-09 07:45:00,4,16,162,1,1,1,1,0,0,0,0,65,3ds_required,1
133,1121,4716,187.2,BR,PL,PL,device_3353,card_2828,card,USD,2025-01-08 15:47:00,5,3,177,1,1,1,0,0,0,0,0,50,3ds_required,1
134,877,3311,1242.79,NL,BR,NL,device_563,card_895,wallet,GBP,2025-04-17 19:54:00,4,8,25,0,0,1,1,0,1,0,0,45,review,0
135,216,1642,622.89,RO,FR,DE,device_22,card_4509,card,USD,2025-04-29 20:31:00,8,16,333,0,1,1,1,0,0,1,0,75,block,1
136,243,1466,980.19,IT,BR,ES,device_718,card_3424,card,EUR,2025-06-02 05:25:00,7,16,95,1,0,1,1,0,0,1,0,65,3ds_required,1
137,2327,1759,1393.04,GB,NL,RO,device_2627,card_4451,wallet,USD,2025-06-11 21:14:00,3,17,239,1,0,1,1,0,1,0,0,55,3ds_required,0
138,1355,2663,1098.02,NL,DE,ES,device_3018,card_2762,paypal,GBP,2025-05-03 18:30:00,4,6,312,1,1,1,1,0,1,0,0,75,block,1
139,356,6568,1005.54,DE,DE,RO,device_1326,card_2033,card,USD,2025-03-11 19:51:00,4,15,136,1,1,0,1,0,1,0,0,55,3ds_required,1
140,2347,188,396.02,GB,IT,ES,device_2736,card_969,paypal,USD,2025-01-30 01:48:00,7,17,360,1,0,1,1,0,0,1,0,65,3ds_required,1
141,1209,6022,923.87,IT,DE,RO,device_628,card_3728,wallet,GBP,2025-03-10 00:23:00,7,18,241,0,0,1,1,0,0,1,0,55,3ds_required,1
142,2441,1342,790.63,BR,GB,FR,device_2311,card_920,card,GBP,2025-06-14 08:46:00,9,7,293,0,0,1,1,0,0,1,0,55,3ds_required,1
143,2132,7240,178.78,IT,CO,RO,device_373,card_4181,paypal,EUR,2025-03-24 13:04:00,3,17,212,1,0,1,1,0,0,0,0,45,review,0
144,2289,7576,1010.79,NL,ES,PL,device_1043,card_25,wallet,EUR,2025-04-16 06:40:00,2,2,216,1,0,1,1,0,1,0,0,55,3ds_required,1
145,247,1131,1479.28,RO,ES,NL,device_1675,card_1475,card,GBP,2025-06-28 02:24:00,7,12,195,1,1,1,1,0,1,1,0,95,block,1
146,2209,2179,982.03,GB,FR,DE,device_2201,card_3220,wallet,EUR,2025-05-13 12:03:00,4,1,11,1,1,1,1,0,0,0,0,65,3ds_required,1
147,2231,6949,800.24,IT,IT,RO,device_1418,card_1271,paypal,EUR,2025-06-20 15:36:00,2,2,338,1,0,0,1,0,0,0,0,25,approve,0
148,986,3377,105.6,CO,ES,RO,device_2449,card_399,card,GBP,2025-01-09 01:16:00,7,15,119,0,0,1,1,0,0,1,0,55,3ds_required,1
149,1185,3837,1224.6,CO,GB,CO,device_2450,card_2627,card,USD,2025-06-09 12:25:00,3,17,113,1,1,1,1,0,1,0,0,75,block,1
150,2281,2870,940.86,PL,BR,RO,device_193,card_2822,wallet,GBP,2025-03-11 09:17:00,9,11,356,1,1,1,1,0,0,1,0,85,block,1
151,1542,3013,1132.85,RO,IT,IT,device_1232,card_1183,paypal,EUR,2025-04-13 09:06:00,7,14,285,0,1,1,0,0,1,1,0,70,block,1
152,833,5412,971.83,RO,GB,FR,device_2194,card_1561,card,USD,2025-03-10 15:52:00,10,20,20,0,0,1,1,0,0,1,0,55,3ds_required,0
153,2407,3556,721.69,GB,NL,ES,device_868,card_1557,wallet,EUR,2025-05-16 23:09:00,8,8,356,0,1,1,1,0,0,1,0,75,block,0
154,2262,5270,1164.39,PL,RO,BR,device_2658,card_2944,paypal,USD,2025-03-07 11:18:00,9,16,238,0,1,1,1,0,1,1,0,85,block,0
155,1312,3329,559.2,PL,ES,CO,device_907,card_1196,card,USD,2025-04-11 17:27:00,10,19,213,1,0,1,1,0,0,1,0,65,3ds_required,1
156,943,6224,856.84,IT,RO,BR,device_2682,card_2766,paypal,USD,2025-06-25 22:44:00,8,15,86,1,0,1,1,0,0,1,0,65,3ds_required,1
157,2239,8001,280.15,BR,ES,BR,device_139,card_609,wallet,EUR,2025-05-20 03:26:00,1,14,70,0,0,1,1,0,0,0,0,35,review,0
158,619,150,331.99,RO,GB,ES,device_2531,card_3959,wallet,USD,2025-01-03 20:43:00,1,18,282,1,0,1,1,0,0,0,0,45,review,0
159,69,8674,1084.68,BR,NL,ES,device_2058,card_3528,card,EUR,2025-06-17 03:00:00,2,17,76,0,0,1,1,0,1,0,0,45,review,0
160,2157,4136,1223.75,NL,PL,FR,device_1529,card_3327,paypal,GBP,2025-02-14 06:35:00,4,10,350,0,0,1,1,0,1,0,0,45,review,0
161,383,6641,572.0,BR,RO,ES,device_2609,card_78,wallet,EUR,2025-01-16 01:15:00,8,14,330,1,0,1,1,0,0,1,0,65,3ds_required,0
162,175,3765,321.07,CO,RO,NL,device_191,card_610,wallet,USD,2025-06-13 17:09:00,9,19,336,0,0,1,1,0,0,1,0,55,3ds_required,0
163,1289,257,1442.4,CO,DE,PL,device_316,card_2452,card,GBP,2025-02-13 18:38:00,10,13,346,1,1,1,1,0,1,1,0,95,block,0
164,574,1285,753.69,GB,ES,FR,device_1791,card_1902,card,USD,2025-04-21 04:01:00,10,20,203,1,0,1,1,0,0,1,0,65,3ds_required,1
165,1846,8039,346.07,BR,PL,PL,device_761,card_4800,wallet,USD,2025-01-16 14:24:00,10,10,126,0,0,1,0,0,0,1,0,40,review,0
166,1098,2527,573.1,DE,PL,GB,device_1478,card_873,card,EUR,2025-06-21 15:51:00,5,15,184,1,0,1,1,0,0,0,0,45,review,0
167,543,1431,285.15,RO,BR,BR,device_2099,card_3343,card,EUR,2025-01-17 07:33:00,6,18,47,1,1,1,0,0,0,1,0,70,block,1
168,1695,6354,1169.86,BR,IT,CO,device_2135,card_1390,wallet,USD,2025-01-31 20:33:00,3,9,154,1,1,1,1,0,1,0,0,75,block,1
169,685,7122,417.56,NL,RO,FR,device_1480,card_2062,card,GBP,2025-04-24 18:48:00,8,20,315,0,1,1,1,0,0,1,0,75,block,1
170,1248,111,1423.49,GB,CO,PL,device_3294,card_2700,paypal,USD,2025-03-20 09:23:00,10,5,153,1,0,1,1,0,1,1,0,75,block,1
171,728,6525,1453.24,NL,RO,CO,device_3203,card_1986,paypal,USD,2025-02-21 00:39:00,7,12,58,0,0,1,1,0,1,1,0,65,3ds_required,1
